timeindex,profile_heat,profile_hotwater,profile_load,profile_STH_load
2023-01-01T00:01:00Z,"0,000124455868723865",0,"0,00",0
2023-01-01T00:02:00Z,"0,000128243656032852",0,"0,00",0
2023-01-01T00:03:00Z,"0,000131490330869127",0,"0,00",0
2023-01-01T00:04:00Z,"0,000141771467850664",0,"0,00",0
2023-01-01T00:05:00Z,"0,000168827091486287",0,"0,00",0
2023-01-01T00:06:00Z,"0,000242418387775181",0,"0,00",0
2023-01-01T00:07:00Z,"0,000312221896755088",0,"0,00",0
2023-01-01T00:08:00Z,"0,000290577397846589",0,"0,00",0
2023-01-01T00:09:00Z,"0,000275967361083353",0,"0,00",0
2023-01-01T00:10:00Z,"0,000264062886683679",0,"0,00",0
2023-01-01T00:11:00Z,"0,000251617299811292",0,"0,00",0
2023-01-01T00:12:00Z,"0,000242418387775181",0,"0,00",0
2023-01-01T00:13:00Z,"0,000237007263048056",0,"0,00",0
2023-01-01T00:14:00Z,"0,000236466150575344",0,"0,00",0
2023-01-01T00:15:00Z,"0,000241336162829756",0,"0,00",0
2023-01-01T00:16:00Z,"0,000247829512502305",0,"0,00",0
2023-01-01T00:17:00Z,"0,000260275099374692",0,"0,00",0
2023-01-01T00:18:00Z,"0,000271097348828941",0,"0,00",0
2023-01-01T00:19:00Z,"0,000273802911192503",0,"0,00",0
2023-01-01T00:20:00Z,"0,000273261798719791",0,"0,00",0
2023-01-01T00:21:00Z,"0,000262439549265542",0,"0,00",0
2023-01-01T00:22:00Z,"0,000232678363266356",0,"0,00",0
2023-01-01T00:23:00Z,"0,000167203754068149",0,"0,00",0
2023-01-01T00:24:00Z,"0,000133113668287264",0,"0,00",0
2023-01-01T00:25:00Z,"0,000111121928239175",0,"0,00",0
2023-01-01T00:26:00Z,"0,000114503899968194",0,"0,00",0
2023-01-01T00:27:00Z,"0,000117402732878781",0,"0,00",0
2023-01-01T00:28:00Z,"0,000126582370428974",0,"0,00",0
2023-01-01T00:29:00Z,"0,000150739311350534",0,"0,00",0
2023-01-01T00:30:00Z,"0,000216446190657177",0,"0,00",0
2023-01-01T00:31:00Z,"0,000278771098234801",0,"0,00",0
2023-01-01T00:32:00Z,"0,000259445545497553",0,"0,00",0
2023-01-01T00:33:00Z,"0,000246400797399911",0,"0,00",0
2023-01-01T00:34:00Z,"0,000235771743394424",0,"0,00",0
2023-01-01T00:35:00Z,"0,000224659550570507",0,"0,00",0
2023-01-01T00:36:00Z,"0,000216446190657177",0,"0,00",0
2023-01-01T00:37:00Z,"0,000211614802472865",0,"0,00",0
2023-01-01T00:38:00Z,"0,000211131663654434",0,"0,00",0
2023-01-01T00:39:00Z,"0,000215479913020315",0,"0,00",0
2023-01-01T00:40:00Z,"0,000221277578841489",0,"0,00",0
2023-01-01T00:41:00Z,"0,000232389771665406",0,"0,00",0
2023-01-01T00:42:00Z,"0,00024205254803403",0,"0,00",0
2023-01-01T00:43:00Z,"0,000244468242126186",0,"0,00",0
2023-01-01T00:44:00Z,"0,000243985103307755",0,"0,00",0
2023-01-01T00:45:00Z,"0,000234322326939131",0,"0,00",0
2023-01-01T00:46:00Z,"0,000207749691925415",0,"0,00",0
2023-01-01T00:47:00Z,"0,00014928989489524",0,"0,00",0
2023-01-01T00:48:00Z,"0,000118852149334075",0,"0,00",0
2023-01-01T00:49:00Z,"0,000117821643065071",0,"0,00",0
2023-01-01T00:50:00Z,"0,000121407519158355",0,"0,00",0
2023-01-01T00:51:00Z,"0,000124481127238313",0,"0,00",0
2023-01-01T00:52:00Z,"0,000134214219491515",0,"0,00",0
2023-01-01T00:53:00Z,"0,000159827620157834",0,"0,00",0
2023-01-01T00:54:00Z,"0,000229496069970224",0,"0,00",0
2023-01-01T00:55:00Z,"0,000295578643689329",0,"0,00",0
2023-01-01T00:56:00Z,"0,000275087923156273",0,"0,00",0
