timeindex,profile_COP_air,profile_COP_brine,profile_COP_water,profile_boiler
2023-01-01T00:01:00Z,0,0,0,"0,943268914285714"
2023-01-01T00:02:00Z,0,0,0,"0,943067828571428"
2023-01-01T00:03:00Z,0,0,0,"0,942783942857143"
2023-01-01T00:04:00Z,0,0,0,"0,942369942857143"
2023-01-01T00:05:00Z,0,0,0,"0,941447314285714"
2023-01-01T00:06:00Z,0,0,0,"0,940276285714286"
2023-01-01T00:07:00Z,0,0,0,"0,939188057142857"
2023-01-01T00:08:00Z,0,0,0,"0,938472428571428"
2023-01-01T00:09:00Z,0,0,0,"0,938484257142857"
2023-01-01T00:10:00Z,0,0,0,"0,939217628571429"
2023-01-01T00:11:00Z,0,0,0,"0,940069285714286"
2023-01-01T00:12:00Z,0,0,0,"0,942919971428571"
2023-01-01T00:13:00Z,0,0,0,"0,944966314285714"
2023-01-01T00:14:00Z,0,0,0,"0,945273857142857"
2023-01-01T00:15:00Z,0,0,0,"0,942275314285714"
2023-01-01T00:16:00Z,0,0,0,"0,938827285714286"
2023-01-01T00:17:00Z,0,0,0,"0,937478828571429"
2023-01-01T00:18:00Z,0,0,0,"0,936432"
2023-01-01T00:19:00Z,0,0,0,"0,936372857142857"
2023-01-01T00:20:00Z,0,0,0,"0,9375912"
2023-01-01T00:21:00Z,0,0,0,"0,938709"
2023-01-01T00:22:00Z,0,0,0,"0,939152571428571"
2023-01-01T00:23:00Z,0,0,0,"0,939152571428571"
2023-01-01T00:24:00Z,0,0,0,"0,938531571428571"
2023-01-01T00:25:00Z,0,0,0,"0,938188542857143"
2023-01-01T00:26:00Z,0,0,0,"0,938992885714285"
2023-01-01T00:27:00Z,0,0,0,"0,940063371428572"
2023-01-01T00:28:00Z,0,0,0,"0,941287628571429"
2023-01-01T00:29:00Z,0,0,0,"0,943032342857143"
2023-01-01T00:30:00Z,0,0,0,"0,944345314285714"
2023-01-01T00:31:00Z,0,0,0,"0,942044657142857"
2023-01-01T00:32:00Z,0,0,0,"0,940087028571429"
2023-01-01T00:33:00Z,0,0,0,"0,941051057142857"
2023-01-01T00:34:00Z,0,0,0,"0,942086057142857"
2023-01-01T00:35:00Z,0,0,0,"0,9447534"
2023-01-01T00:36:00Z,0,0,0,"0,948932828571429"
2023-01-01T00:37:00Z,0,0,0,"0,951260228571429"
2023-01-01T00:38:00Z,0,0,0,"0,951359314285714"
2023-01-01T00:39:00Z,0,0,0,"0,950549142857143"
2023-01-01T00:40:00Z,0,0,0,"0,949086171428572"
2023-01-01T00:41:00Z,0,0,0,"0,9470712"
2023-01-01T00:42:00Z,0,0,0,"0,947194371428571"
2023-01-01T00:43:00Z,0,0,0,"0,946811485714286"
2023-01-01T00:44:00Z,0,0,0,"0,946881"
2023-01-01T00:45:00Z,0,0,0,"0,948713142857143"
2023-01-01T00:46:00Z,0,0,0,"0,948514971428572"
2023-01-01T00:47:00Z,0,0,0,"0,947988942857143"
2023-01-01T00:48:00Z,0,0,0,"0,946521771428571"
2023-01-01T00:49:00Z,0,0,0,"0,946953514285715"
2023-01-01T00:50:00Z,0,0,0,"0,947065885714286"
2023-01-01T00:51:00Z,0,0,0,"0,9474006"
2023-01-01T00:52:00Z,0,0,0,"0,946569085714286"
2023-01-01T00:53:00Z,0,0,0,"0,945504514285714"
2023-01-01T00:54:00Z,0,0,0,"0,943026428571428"
2023-01-01T00:55:00Z,0,0,0,"0,940329514285714"
2023-01-01T00:56:00Z,0,0,0,"0,939885942857143"
2023-01-01T00:57:00Z,0,0,0,"0,939945085714286"
2023-01-01T00:58:00Z,0,0,0,"0,941394085714286"
2023-01-01T00:59:00Z,0,0,0,"0,943404942857143"
2023-01-01T01:00:00Z,0,0,0,"0,944404457142857"
2023-01-01T01:01:00Z,0,0,0,"0,944469514285714"
2023-01-01T01:02:00Z,0,0,0,"0,9437598"
2023-01-01T01:03:00Z,0,0,0,"0,943493657142857"
2023-01-01T01:04:00Z,0,0,0,"0,9427248"
2023-01-01T01:05:00Z,0,0,0,"0,941955942857143"
2023-01-01T01:06:00Z,0,0,0,"0,941228485714285"
2023-01-01T01:07:00Z,0,0,0,"0,940394571428572"
2023-01-01T01:08:00Z,0,0,0,"0,940217142857143"
2023-01-01T01:09:00Z,0,0,0,"0,940152085714286"
2023-01-01T01:10:00Z,0,0,0,"0,940708028571428"
2023-01-01T01:11:00Z,0,0,0,"0,940926857142857"
2023-01-01T01:12:00Z,0,0,0,"0,9406548"
