name,type,carrier,tech,capacity,capacity_cost,efficiency,from_bus,to_bus
conversion_ehz,conversion,heat,electric heater,0,1,0.95,bus_electricity,bus_heat
conversion_fws,conversion,heat,exchanger,0,1,0.95,bus_heat,bus_hotwater
conversion_shk,conversion,heat,boiler,0,1,0.93,bus_firewood,bus_heat
conversion_pk,conversion,heat,boiler,0,1,0.949,bus_woodpellets,bus_heat
conversion_hgk,conversion,heat,boiler,0,1,0.942,bus_woodchips,bus_heat
conversion_dle,conversion,heat,electric heater,0,1,0.95,bus_electricity,bus_hotwater
