name,type,carrier,tech,capacity,capacity_cost,efficiency,from_bus,to_bus
conversion_heatpump_air,conversion,heat,air-to-water,0,1,profile_COP_air,bus_electricity,bus_heat
conversion_heatpump_brine,conversion,heat,brine-to-water,0,1,profile_COP_brine,bus_electricity,bus_heat
conversion_heatpump_water,conversion,heat,water-to-water,0,1,profile_COP_water,bus_electricity,bus_heat
conversion_boiler,conversion,heat,boiler,0,1,profile_boiler,bus_gas,bus_heat
